Players,Sentiment Score,Score_with_stats,ast_per_game,stl_per_game,tov_per_game
thomas bryant,0.8573,2.609,0.9,0.4,0.5
thomas bryant,0.8573,2.609,0.4,0.1,0.2
thomas bryant,0.8573,2.609,1.0,0.5,0.5
tim hardaway jr.,0.9393,3.589,1.6,0.5,0.6
tobias harris,0.6724,4.902,2.2,1.0,1.1
torrey craig,0.8442,1.687,0.4,0.2,0.1
torrey craig,0.8442,1.687,0.6,0.2,0.0
torrey craig,0.8442,2.267,0.4,0.2,0.1
torrey craig,0.8442,2.267,0.6,0.2,0.0
toumani camara,-0.4144,4.292,2.2,1.5,1.4
trae young,0.936,7.569,11.5,1.2,4.8
trayce jackson-davis,0.9438,2.758,1.8,0.4,0.7
tre jones,0.714,2.908,4.2,0.8,0.8
tre jones,0.714,2.908,3.7,0.6,0.8
