seas_id,season,player_id,player,birth_year,pos,age,experience,lg,tm,g,gs,mp_per_game,fg_per_game,fga_per_game,fg_percent,x3p_per_game,x3pa_per_game,x3p_percent,x2p_per_game,x2pa_per_game,x2p_percent,e_fg_percent,ft_per_game,fta_per_game,ft_percent,orb_per_game,drb_per_game,trb_per_game,ast_per_game,stl_per_game,blk_per_game,tov_per_game,pf_per_game,pts_per_game
32259.0,2025,4267.0,Jusuf Nurkić,,C,30.0,11.0,NBA,PHO,25,23.0,23.7,3.0,6.5,0.454,0.8,2.4,0.322,2.2,4.2,0.529,0.512,1.9,2.8,0.696,1.8,7.3,9.2,1.9,0.9,0.6,2.3,3.1,8.6
32260.0,2025,4267.0,Jusuf Nurkić,,C,30.0,11.0,NBA,CHO,20,6.0,16.9,2.8,6.0,0.462,0.5,1.6,0.281,2.3,4.4,0.529,0.5,1.3,2.1,0.634,1.5,5.0,6.5,2.6,0.7,0.8,1.3,1.7,7.3
32261.0,2025,4852.0,KJ Martin,,PF,24.0,5.0,NBA,TOT,42,16.0,21.2,2.5,4.6,0.544,0.4,1.4,0.263,2.1,3.2,0.662,0.583,0.9,1.1,0.783,0.7,2.2,2.9,1.1,0.4,0.5,0.5,2.4,6.2
32262.0,2025,4852.0,KJ Martin,,PF,24.0,5.0,NBA,PHI,24,7.0,20.0,2.5,4.1,0.616,0.3,0.9,0.381,2.2,3.3,0.679,0.657,1.0,1.2,0.828,0.9,2.1,3.0,0.8,0.5,0.7,0.5,2.6,6.4
32263.0,2025,4852.0,KJ Martin,,SF,24.0,5.0,NBA,UTA,18,9.0,22.8,2.4,5.2,0.468,0.4,2.0,0.194,2.1,3.2,0.638,0.505,0.7,0.9,0.706,0.4,2.3,2.8,1.5,0.3,0.3,0.6,2.1,5.9
32264.0,2025,5262.0,KJ Simpson,,PG,22.0,1.0,NBA,CHO,29,8.0,21.8,2.6,7.8,0.335,0.9,3.4,0.25,1.8,4.4,0.402,0.39,1.3,1.6,0.83,1.2,1.7,2.9,2.9,0.9,0.2,1.5,1.6,7.4
32265.0,2025,4974.0,Kai Jones,,C,24.0,3.0,NBA,TOT,36,6.0,11.0,1.9,2.4,0.791,0.0,0.1,0.25,1.9,2.3,0.817,0.797,0.6,0.8,0.75,0.9,2.0,2.9,0.6,0.3,0.6,0.4,1.1,4.4
32267.0,2025,4974.0,Kai Jones,,C,24.0,3.0,NBA,DAL,8,6.0,23.6,5.3,6.3,0.84,0.1,0.3,0.5,5.1,6.0,0.854,0.85,1.5,2.0,0.75,2.4,5.1,7.5,1.4,0.8,0.9,0.5,2.3,12.1
32268.0,2025,4339.0,Karl-Anthony Towns,,C,29.0,10.0,NBA,NYK,67,67.0,35.0,8.8,16.9,0.521,2.1,4.9,0.425,6.7,12.0,0.56,0.582,4.6,5.6,0.827,3.0,9.9,12.8,3.1,1.0,0.7,2.6,3.5,24.3
32269.0,2025,5263.0,Karlo Matković,,PF,23.0,1.0,NBA,NOP,37,6.0,18.3,2.8,5.0,0.565,0.4,1.4,0.32,2.4,3.7,0.654,0.608,0.8,1.1,0.795,1.6,3.2,4.8,1.1,0.5,1.0,1.0,2.5,6.9
